time,field_id,et,etof,eto,pr,ndvi,acres,year,month,et_acft,pr_acft,net_et_acft
2016-03-01,21106016347,61.201,0.87,70.342,59.655,0.61,1.289862,2016,3,0.25899227120078744,0.2524498609251969,0.006542410275590549
2016-03-01,21106016378,57.909,0.798,72.565,90.161,0.669,34.270299,2016,3,6.51101950390748,10.137284869222443,0.0
2016-03-01,21106016393,59.512,0.818,72.764,63.897,0.666,4.944471,2016,3,0.9654047183464567,1.0365382660334646,0.0
2016-03-01,21106016454,55.755,0.765,72.891,89.662,0.406,185.824142,2016,3,33.99155195935039,54.66326843833333,0.0
2016-03-01,21106016455,55.463,0.762,72.764,63.588,0.571,7.529137,2016,3,1.370041093933727,1.5707439749212597,0.0
2016-03-01,21106016462,47.102,0.648,72.715,81.819,0.466,33.183059,2016,3,5.12791484585958,8.907495749084646,0.0
2016-03-01,21106016472,55.674,0.793,70.249,62.916,0.591,47.289998000000004,2016,3,8.637871878779528,9.761474784015748,0.0
2016-03-01,21106016479,58.664,0.833,70.408,62.53,0.682,12.649049,2016,3,2.434526937454068,2.594964022211286,0.0
2016-03-01,21106016499,46.335,0.642,72.141,96.158,0.499,110.87377,2016,3,16.8547773390748,34.97834637683727,0.0
2016-03-01,21106016518,59.625,0.847,70.408,63.585,0.683,7.756469,2016,3,1.5173210765255905,1.6180940989665353,0.0
2016-03-01,21106016562,48.59,0.67,72.565,85.569,0.611,24.121902000000002,2016,3,3.8454173824803153,6.77193908214567,0.0
2016-03-01,21106016563,48.072,0.662,72.613,63.215,0.512,40.331662,2016,3,6.360969998897638,8.364717891502625,0.0
2016-03-01,21106016578,42.499,0.605,70.259,64.045,0.373,38.050929,2016,3,5.305532911978346,7.995314133218503,0.0
2016-03-01,21106016597,51.477,0.752,68.498,66.061,0.699,58.614591000000004,2016,3,9.899289044970471,12.703866456860238,0.0
2016-03-01,21106016604,60.772,0.864,70.342,59.237,0.681,7.63539,2016,3,1.522368507480315,1.483916002066929,0.03845250541338596
2016-03-01,21106016663,53.966,0.766,70.415,73.306,0.72,43.272152000000006,2016,3,7.661499195643045,10.4071797064042,0.0
2016-03-01,21106016745,58.07,0.827,70.228,64.662,0.559,14.855652,2016,3,2.8302746444881888,3.151562236299213,0.0
2016-03-01,21106016840,54.826,0.779,70.367,59.381,0.462,29.152858000000002,2016,3,5.243879897335958,5.679546787723097,0.0
2016-03-01,21106016902,60.812,0.865,70.339,60.775,0.627,21.895531000000002,2016,3,4.36847451171916,4.36581658964895,0.002657922070210539
2016-03-01,21106016931,43.706,0.62,70.49,74.343,0.549,42.866908,2016,3,6.146788323648295,10.455559519173228,0.0
2016-03-01,21106016935,42.168,0.599,70.351,65.301,0.318,47.51733,2016,3,6.573854237007874,10.180213800295276,0.0
2016-03-01,21106016940,63.401,0.903,70.228,64.495,0.565,9.841993,2016,3,2.0472184980085304,2.082543761597769,0.0
2016-03-01,21106016973,57.576,0.819,70.325,64.694,0.626,33.059509,2016,3,6.244863156771653,7.016902477841207,0.0
2016-03-01,21106016975,57.576,0.818,70.377,65.103,0.749,21.962248,2016,3,4.148616767874016,4.690971888267716,0.0
2016-03-01,21106017023,55.27,0.783,70.543,76.135,0.627,3.456929,2016,3,0.6268519220144357,0.8634950440124672,0.0
2016-03-01,21106017033,51.697,0.722,71.642,77.425,0.524,99.48493100000002,2016,3,16.87359736846129,25.27106555995735,0.0
2016-03-01,21106017049,56.984,0.785,72.613,63.665,0.639,101.716244,2016,3,19.01639910792651,21.24594709402887,0.0
2016-03-01,21106017061,48.274,0.687,70.228,66.243,0.371,26.894364000000003,2016,3,4.259509605433071,5.845024128779528,0.0
2016-03-01,21106017064,58.072,0.825,70.377,68.072,0.601,41.448554,2016,3,7.896983031128609,9.256843726666666,0.0
2016-03-01,21106017069,53.183,0.75,70.911,99.616,0.593,15.74027,2016,3,2.7464395649934383,5.144300316010498,0.0
2016-03-01,21106017076,66.249,0.941,70.408,59.405,0.661,2.886128,2016,3,0.6273067384251968,0.56250142335958,0.06480531506561682
2016-03-01,21106017080,56.139,0.772,72.725,62.996,0.639,24.559269,2016,3,4.523401582647638,5.0759045601181105,0.0
2016-03-01,21106017099,44.832,0.637,70.342,60.9,0.362,8.794289000000001,2016,3,1.2935221930708662,1.7571266407480315,0.0
2016-03-01,21106017134,50.805,0.722,70.415,73.279,0.53,18.967396,2016,3,3.161543811614173,4.560078121666666,0.0
2016-03-01,21106017149,56.85,0.782,72.676,67.094,0.595,14.573958,2016,3,2.718272678149606,3.2080877232677163,0.0
2016-03-01,21106017172,55.783,0.792,70.415,75.203,0.646,6.325760000000001,2016,3,1.1577095475065617,1.5607484556430449,0.0
2016-03-01,21106017173,51.373,0.73,70.326,63.076,0.551,13.630036,2016,3,2.2972960611154853,2.820630415800525,0.0
2016-03-01,21106017183,62.534,0.889,70.342,59.054,0.643,5.082847,2016,3,1.0428174353608923,0.9847849302427822,0.05803250511811009
2016-03-01,21106017194,53.71,0.764,70.332,65.101,0.732,29.955932999999998,2016,3,5.278652104429134,6.398166647746062,0.0
2016-03-01,21106017225,58.01,0.824,70.377,64.745,0.641,2.008923,2016,3,0.3823412835629921,0.42673136363188974,0.0
2016-03-01,21106017279,47.767,0.68,70.228,65.269,0.32,18.539913000000002,2016,3,2.9054987672933077,3.9700839291240166,0.0
2016-03-01,21106017338,62.588,0.889,70.415,74.445,0.815,44.762164999999996,2016,3,9.191517004658792,10.932806343257871,0.0
2016-03-01,21106017450,57.672,0.819,70.377,65.588,0.661,11.181275000000001,2016,3,2.115638096456693,2.406028427493438,0.0
2016-03-01,21106017464,49.469,0.703,70.377,64.094,0.406,25.172076999999998,2016,3,4.085424793677821,5.293238527683726,0.0
2016-03-01,21106017470,50.996,0.725,70.377,63.887,0.563,50.712333,2016,3,8.484665792874015,10.629458065521654,0.0
2016-03-01,21106017538,63.217,0.869,72.764,65.234,0.696,32.6172,2016,3,6.764965657480314,6.980808480314959,0.0
2016-03-01,21106017541,57.813,0.796,72.665,66.661,0.612,72.140845,2016,3,13.68332897632874,15.777496287877296,0.0
2016-03-01,21106017547,60.921,0.839,72.613,62.323,0.616,49.921613,2016,3,9.977934992037403,10.207561309051838,0.0
2016-03-01,21106017581,55.318,0.786,70.397,76.014,0.596,137.427136,2016,3,24.941582379422567,34.272920983937006,0.0
2016-03-01,21106017594,61.341,0.859,71.401,62.147,0.638,33.509231,2016,3,6.7437327387499995,6.832343106814304,0.0
2016-03-01,21106017598,55.705,0.767,72.594,64.948,0.647,116.25807900000001,2016,3,21.24723192485236,24.77273528507874,0.0
2016-03-01,21106017642,62.77,0.892,70.342,59.584,0.58,2.4759420000000003,2016,3,0.509891336417323,0.4840109190551182,0.025880417362204755
2016-03-01,21106017678,55.882,0.794,70.377,65.157,0.632,2.7329260000000004,2016,3,0.5010543659186352,0.5842167302559055,0.0
2016-03-01,21106017688,44.763,0.636,70.366,60.231,0.355,56.697095000000004,2016,3,8.326548764714566,11.203814727509842,0.0
2016-03-01,21106017709,66.703,0.948,70.331,60.84,0.616,63.054978000000006,2016,3,13.799068889547245,12.586170805511813,1.212898084035432
2016-03-01,21106017713,53.721,0.749,71.684,62.697,0.682,96.18614600000001,2016,3,16.9528082325,19.78537662651575,0.0
2016-03-01,21106017721,22.665,0.322,70.415,73.81,0.263,34.497631,2016,3,2.565251990206693,8.353904672276903,0.0
2016-03-01,21106017843,55.602,0.79,70.363,73.292,0.51,12.443956,2016,3,2.2700421309448817,2.992265167821522,0.0
2016-03-01,21106017866,58.9,0.837,70.353,74.013,0.724,31.025876,2016,3,5.995485880577428,7.533852232244095,0.0
2016-03-01,21106017899,62.992,0.893,70.539,60.501,0.656,25.609444000000003,2016,3,5.2926184266666665,5.083323397125985,0.2092950295406819
2016-03-01,21106017908,52.967,0.751,70.496,75.271,0.63,15.708147,2016,3,2.7297028285728344,3.8791598846358264,0.0
2016-03-01,21106017937,54.127,0.77,70.331,61.58,0.546,76.66771700000001,2016,3,13.614808130114831,15.48949479284777,0.0
2016-03-01,21106017943,65.296,0.927,70.408,58.708,0.753,5.700597,2016,3,1.221214506929134,1.0980008158661416,0.1232136910629924
2016-03-01,21106017965,56.127,0.798,70.292,60.254,0.693,16.172695,2016,3,2.978099909005906,3.197078623786089,0.0
2016-03-01,21106017970,55.522,0.789,70.394,74.072,0.562,94.07097,2016,3,17.135854318700787,22.860974048031494,0.0
2016-03-01,21106018026,49.367,0.678,72.764,67.467,0.535,33.92683,2016,3,5.494966589927821,7.50965039242126,0.0
2016-03-01,21106018041,59.525,0.817,72.89,61.828,0.624,18.574507,2016,3,3.627452523540026,3.767797305761155,0.0
2016-03-01,21106018051,59.591,0.845,70.503,74.254,0.729,31.737524,2016,3,6.204956668910761,7.731752319868766,0.0
2016-03-01,21106018093,52.06,0.74,70.331,59.566,0.568,12.090603,2016,3,2.0650813391732283,2.3628243382480316,0.0
2016-03-01,21106018133,55.648,0.766,72.613,64.966,0.561,41.228635,2016,3,7.527201707611549,8.787596789402885,0.0
2016-03-01,21106018149,46.913,0.666,70.394,72.465,0.308,46.528929999999995,2016,3,7.161455685990813,11.06206992273622,0.0
2016-03-01,21106018190,54.039,0.769,70.292,60.859,0.707,25.545198,2016,3,4.528992633602362,5.1005748198228344,0.0
2016-03-01,21106018194,55.954,0.795,70.381,74.927,0.597,20.857711000000002,2016,3,3.828977563300525,5.127315328402231,0.0
2016-03-01,21106018202,62.019,0.882,70.336,74.831,0.527,489.91034400000007,2016,3,99.68421792826773,120.27716847724412,0.0
2016-03-01,21106018215,65.129,0.927,70.279,61.564,0.587,46.610473,2016,3,9.959624330764436,9.414459185603674,0.5451651451607624
2016-03-01,21106018222,57.148,0.787,72.631,65.22,0.605,35.404488,2016,3,6.638109187086615,7.575724105511811,0.0
2016-03-01,21106018224,52.39,0.743,70.517,75.818,0.578,5.300295,2016,3,0.9110316766732284,1.3184309918307087,0.0
2016-03-01,21106018229,61.951,0.882,70.228,63.274,0.595,51.920652000000004,2016,3,10.552940656338583,10.778304903700787,0.0
2016-03-01,21106018255,52.833,0.729,72.502,93.13,0.66,30.371061,2016,3,5.264416882588583,9.279714274704725,0.0
