date,rh,flux,ebr,EToF_filtered,es,rso,ebr_5day_clim,EToF,sw_out,t_max,ebr_corr,Rn,energy,lw_in,t_min,sw_in,H,t_dew,vp,theta_1,lw_out,LE,ws,wd,ebc_cf,flux_corr,vpd,LE_corr,H_corr,t_avg,theta_mean,G,theta_2,Rn_subday_gaps,ET_fill_val,G_subday_gaps,ET_gap,ASCE_ETo,ET,ET_corr,gridMET_ETo,gridMET_prcp,H_subday_gaps,ET_fill,ppt,LE_subday_gaps,gridMET_ETr
2013-01-31,,,,,,142.75273330101152,0.8511331851470858,,,,,,,,,,,,,,,,,,1.1760799338466996,,,,,,,,,,,,0.0,,,,30.5000002,24.80000004,,,,,43.30000048
2013-02-28,,,,,,185.8325891077517,0.8417931689837359,,,,,,,,,,,,,,,,,,1.1894555970277187,,,,,,,,,,,,0.0,,,,54.4000009,8.5,,,,,75.5000012
2013-03-31,,,,,,245.86478303629303,0.8453214913871424,,,,,,,,,,,,,,,,,,1.1834645329907387,,,,,,,,,,,,0.0,,,,92.70000090000002,30.30000104,,,,,122.60000060000002
2013-04-30,,,,,,305.17183807170056,0.8228231678144713,,,,,,,,,,,,,,,,,,1.2155447603614955,,,,,,,,,,,,0.0,,,,151.300001,10.9,,,,,201.70000180000002
2013-05-31,,,,,,345.64899296470816,0.8308718025184326,,,,,,,,,,,,,,,,,,1.2361154811633157,,,,,,,,,,,,2.0,,,,206.10000120000004,6.3000002,,,,,283.60000899999994
2013-06-30,56.71204022988506,124.7179764222222,,0.7371614422495217,,361.62094753520836,0.8616653407862092,0.7333388244648924,,32.566205166666656,,,,,20.260084133333333,,-3.9514832527777792,,2.1356285330031173,4.7482431752873575,,128.669459675,4.515691144583334,,1.2758321892436182,159.34181958182347,1.3297500933908046,164.73161051278854,-5.38979093096506,24.75891011916667,14.631087284482758,9.914600012152778,24.513931393678163,,,,0.0,,136.44144634418518,174.68845908897583,240.7000054,3.2000001,,178.8613359774951,,,337.70000600000003
2013-07-31,58.51420026881721,130.0267440356183,0.8242178462074476,0.7267386939355753,3.405744675405191,352.516637843564,0.8809593026873347,0.7272877652637791,80.34292115389785,34.36272993548388,0.99686243373018,168.66032714448926,157.7577392116936,328.90620570094086,20.041660451612906,345.27144891599465,-14.161791565860211,18.900346554737414,2.28334538590177,3.937641801075269,425.1744063057797,144.1885356014785,3.9027061309523816,252.15931479967958,1.2104007511869812,157.26276385033984,1.3113041601478497,174.42638692077395,-17.163623070434127,25.831766994047612,12.701243111559146,10.902587932795695,21.464844422043008,,,,0.0,226.2904967620582,158.20444937642603,191.38574650308067,264.4000019,0.0,,192.04476406912133,,,369.20001099999996
2013-08-31,60.880840053763436,112.88594344623655,0.9036557339970248,0.4968468538543319,3.4848982782625937,318.5454748245885,0.9166479170096972,0.5001630083760801,79.82786738844088,34.10064080645161,1.0109398979522652,133.93842527419355,124.92140446774192,326.1152028205645,20.560966677419355,315.3042797103496,26.54017064717741,19.487353956242877,2.376757200886776,4.050524865591398,427.65318984946236,86.34577279905912,4.05056506922043,246.62625698883926,1.115387568283252,126.28803188467266,1.1931283454973125,97.27528554598759,29.012746338685087,26.30077807392473,11.989835853494625,9.017020806451614,19.92914684139785,,,,0.0,212.49318743381065,94.83050963135989,106.82760680494283,212.10000150000005,0.0,,105.68596521216044,,,293.30000500000006
2013-09-30,58.59476388888889,83.00083397569443,0.8311589108149899,0.6668773428455719,3.3303796924919533,264.47297011171617,0.867918772955883,0.6632369752489756,57.4834259388889,31.93924946666667,0.9908636448739092,100.888758975,99.86157026736116,324.0627081069444,19.773066799999988,244.72456656944448,-2.810666079166668,18.276131497864775,2.1768819277002858,7.091580208333332,410.4150897979167,85.81150005486111,3.4696024826388903,249.3284220243057,1.1888878088146722,98.94919949794941,1.1534977647916664,103.2743395982012,-4.325140100251783,25.256398205555566,13.156703298611115,1.0271887076388897,19.221826388888886,,,,0.0,158.86629704780438,91.15058187610992,109.70422369090237,162.90000160000002,17.5,,110.46399144966881,,,230.20000249999998
2013-10-31,,63.98532306048386,,0.5891291991792319,,202.1735930909338,0.8723216071470861,0.5922580113686955,41.488620076612904,28.23191519354839,,59.12079734677422,,295.30909192809133,14.801845064516124,186.0234715994624,9.265718475806453,,,,380.72314610013433,54.7196045846774,,,1.0134325739603465,64.81271031537395,,55.43460671512167,9.378103600252263,,,,,,,,0.0,,59.75417617402996,60.534377669462316,110.00000130000004,0.0,,61.16187029345044,,,162.50000039999995
