date,rh,flux,ebr,EToF_filtered,es,rso,ebr_5day_clim,EToF,sw_out,t_max,ebr_corr,Rn,energy,lw_in,t_min,sw_in,H,t_dew,vp,theta_1,lw_out,LE,ws,wd,ebc_cf,flux_corr,vpd,LE_corr,H_corr,t_avg,theta_mean,G,theta_2,Rn_subday_gaps,ET_fill_val,G_subday_gaps,ET_gap,ASCE_ETo,ET,ET_corr,gridMET_ETo,gridMET_prcp,H_subday_gaps,ET_fill,ppt,LE_subday_gaps,gridMET_ETr
2016-01-31,,,,,,142.86561113107416,0.7167337393281641,,,,,,,,,,,,,,,,,,1.3955570947493696,,,,,,,,,,,,0.0,,,,30.10000036,114.90000210000002,,,,,41.30000066
2016-02-29,,,,,,186.92110927273205,0.7692064413256918,,,,,,,,,,,,,,,,,,1.300981559830232,,,,,,,,,,,,0.0,,,,56.20000100000001,15.4000001,,,,,76.00000120000003
2016-03-31,,,,,,248.0654168202509,0.7296592348327919,,,,,,,,,,,,,,,,,,1.3712870183559225,,,,,,,,,,,,0.0,,,,83.30000079999998,93.000001,,,,,107.4000014
2016-04-30,,,,,,306.9434943415509,0.7691017361665257,,,,,,,,,,,,,,,,,,1.3011895991963065,,,,,,,,,,,,0.0,,,,129.6000013,30.600000099999995,,,,,164.70000129999997
2016-05-31,,,,,,346.63607768506216,0.7941441330270739,,,,,,,,,,,,,,,,,,1.2594625704187303,,,,,,,,,,,,0.0,,,,171.70000119999997,6.8,,,,,219.50000419999998
2016-06-30,,,,,,361.7727806236209,0.7970272771562729,,,,,,,,,,,,,,,,,,1.254989245690713,,,,,,,,,,,,0.0,,,,223.1000063,0.0,,,,,302.2000050000001
2016-07-31,,,,,,351.8656879145718,0.8023977838066981,,,,,,,,,,,,,,,,,,1.2471108832485571,,,,,,,,,,,,0.0,,,,247.90000580000003,0.0,,,,,339.60000500000007
2016-08-31,,,,,,317.13745457013323,0.807480887062375,,,,,,,,,,,,,,,,,,1.253244345909009,,,,,,,,,,,,2.0,,,,209.40000150000003,0.0,,,,,287.200005
2016-09-30,61.31518749999998,97.17527447638894,0.8161241596252574,0.6589118478231658,2.8279041986495788,262.56183032455175,0.7958112863750308,0.6563665210460635,54.642417117361106,31.824438333333333,0.987718431725183,122.25719677638888,119.06922902638887,329.7015003715278,13.453314066666662,251.28630952569446,14.32532167777778,14.343320878081776,1.7047646433718011,,404.08819599930564,82.84995279861114,2.0825256020833334,241.8465426,1.207453796232302,117.60687216067144,1.123139555277778,100.75537911650477,16.851493044166688,21.794200456944452,,3.1879677499999994,,0.0,,0.0,0.0,136.8072383161629,87.65967194776789,106.602562031142,162.8000009,0.0,0.0,107.88284116361191,0.0,0.0,230.50000519999998
2016-10-31,74.6515927419355,49.528489584005364,0.7441397668489879,0.9505760458733952,2.315728083444537,200.32648705914025,0.7730700830515873,0.9533449796412182,35.35491593749999,24.33500058064516,0.9938014794430232,65.04933717473118,66.55804701008066,332.0250814112904,14.747671161290324,153.62757297446234,3.867406155241936,14.584944805585762,1.752176135057441,24.51746527777778,385.24840128024186,45.661083428763455,2.014549952284946,221.19323986760762,1.3831176795700044,66.14548558745642,0.5635519483870967,61.96380994547759,4.18167564197883,19.47605117943548,25.94585942876345,-1.5087098353494623,27.853450514112897,0.0,,0.0,0.0,71.96572831138126,49.802069646122796,67.59085882326833,80.30000054,93.80000109999999,0.0,68.78933157468822,85.19999999999997,0.0,112.20000123999996
2016-11-30,85.29830459770112,33.59470467916666,0.6781388479428729,1.1520653147524136,2.1037571707832137,150.33180516552096,0.6885379526622224,1.1871014850578718,24.52895433261494,21.458253166666665,1.0575707117071875,43.14839926527779,49.539566684722224,320.6865219468391,14.703851300000006,112.68730157638888,4.174992710416666,15.750307883526325,1.849622868621172,34.582722701149414,364.8985449647989,29.41971196875,1.5733401979166668,206.05860922847216,1.5379864397566334,52.391594796427356,0.2522278433189655,46.25921704446429,6.13237775196306,18.069131492361112,35.913608154454025,-6.391167419444443,37.244493607758635,0.0,,0.0,0.0,38.17628201030412,31.028611189948183,48.7927255537701,41.00000082,29.8,0.0,47.75000438605297,23.17241379310345,0.0,55.2000005
2016-12-31,83.0843682795699,21.721997552419356,0.8167829849282066,0.7953765161593779,1.754896948394557,129.30954525052022,0.6971252909797405,1.1319700464194276,18.667552791666665,18.158626774193554,1.0107736993283498,20.47746825336021,26.59457647043012,293.93050237163976,11.885295967741936,87.01067589583332,2.9679185040322578,13.001161861221252,1.5602507326939448,37.18118055763889,341.79615722110213,18.754079048387087,2.326690680107528,196.61815037847228,1.2372403621769872,26.88109844108732,0.1919360946236559,23.268666577182945,3.6124318639043795,15.106782543010752,40.010014968055565,-6.117108217069893,42.83884937847222,0.0,,0.0,0.0,27.34066231884495,20.37781080051539,25.283881133064064,26.00000023999999,52.70000044,0.0,20.990924948581675,62.00000000000002,0.0,38.10000048
2017-01-31,86.503325,19.830826290322577,0.5561054128107795,1.1361691863027494,1.916554024594372,142.86561113107416,0.7167337393281641,1.390687703273091,15.20056284666667,19.100571866666666,0.7307170104658307,32.92301334583333,35.66019289416667,305.8037294733333,13.971913699999998,88.77100000416668,-7.244920776209677,,,40.359361104166666,346.4511532858333,27.075747066532248,3.2213302527777774,184.87279949027774,1.298535441230929,26.05750954426033,0.1536806421666667,35.110691132441936,-9.053181588181614,16.626760667361108,45.81171929375001,-2.7371795483333328,51.26407748333334,0.0,,0.0,0.0,,29.474099402087727,38.22086587535378,29.80000018,195.5000021,0.0,33.79562867242104,184.636,0.0,40.900000520000006
