date,rh,flux,ebr,EToF_filtered,es,rso,ebr_5day_clim,EToF,t_max,ebr_corr,Rn,energy,t_min,sw_in,H,t_dew,vp,LE,wd,ws,ebc_cf,flux_corr,vpd,LE_corr,H_corr,t_avg,G,Rn_subday_gaps,ET_fill_val,G_subday_gaps,ET_gap,ASCE_ETo,ET,ET_corr,gridMET_ETo,gridMET_prcp,H_subday_gaps,ET_fill,ppt,LE_subday_gaps,gridMET_ETr
2009-01-31,,,,,,142.79845435592497,0.7998630656759008,,,,,,,,,,,,,,1.255723260737627,,,,,,,,,,0.0,,,,40.20000034,37.400001399999994,,,,,59.80000079999999
2009-02-28,,,,,,185.87751791095818,0.9128051640421538,,,,,,,,,,,,,,1.0962577461478586,,,,,,,,,,0.0,,,,47.30000044,130.4000001,,,,,64.0000005
2009-03-31,,,,,,245.90514752913379,0.9746849280769204,,,,,,,,,,,,,,1.0238114312802782,,,,,,,,,,0.0,,,,100.5000012,46.60000004,,,,,137.80000219999997
2009-04-30,,124.10951041666668,,0.5367524807031364,1.73879022630504,305.20342333526435,0.9929158161071426,0.5386284351304942,19.30360996428572,,,,10.280196892857145,,55.105303847470246,,,69.00420656919644,232.40964118910253,3.9646677511574073,1.019419754528757,127.21945456253134,,71.06760294777885,56.59522975861067,14.568332684027776,,776.7857142857142,,774.6428571428571,2.0,,72.5447589753082,74.73622776879141,140.30000280000002,17.70000034,0.0,74.09950527864336,24.555555555555554,0.0,186.80000380000004
2009-05-31,62.71479727564103,140.3067658891129,0.9597881407728532,0.4521976597728277,2.2164986402093243,345.67115905953835,1.024720893717468,0.4401795589895736,24.18376693548387,1.0166129781112732,155.2622353707562,146.18514225038578,13.826119612903225,301.516795915,67.43663341666667,,1.2041773774901856,72.87013247244622,247.03842087787356,4.646672563218392,1.0573793613843019,148.61371281878485,0.9395651592147438,77.2026594348101,71.41105338397476,18.583812050287356,9.077093120370373,26.0,,20.0,0.0,,79.46295491084093,84.18812197443285,201.90000440000009,17.5,0.0,87.64157197228089,17.6,0.0,273.6000023
2009-06-30,62.907030555555565,171.93227176597233,0.8868516835772358,1.0262152551716148,2.3498498563572183,361.63809317663095,0.9658983185300184,1.0318089563258566,24.737375399999994,1.0040352985602818,197.65058000208333,193.86812355416663,15.215085500000002,325.57072398065486,-3.4467599930555552,10.333195744596528,1.3006150128702771,175.3790317590278,246.75596685991383,5.060041373611112,1.130885431272955,194.6504393140293,1.0378397556944443,199.47263185802598,-4.822192543996625,19.44828454930556,3.7824564479166662,27.0,,0.0,0.0,179.45146402736665,185.2320091133192,210.6977327706007,208.4000045,3.9,0.0,212.19185588583028,9.5,0.0,283.7000016
2009-07-31,59.7946712962963,164.75218682526884,0.8629312863418429,1.083354920225951,2.5014302418129217,352.5361563386772,0.8670062567054659,1.0872444280851503,26.70474564516129,1.003058868656376,190.00472215696843,190.92155937895112,15.342269709677415,332.85472023625,-49.941137897849465,10.111812638928999,1.2782180632881268,214.69332472311834,253.1958434719551,4.4883738437500025,1.161933008874607,191.50556335276184,1.2403588655864195,249.2981901812878,-57.792626828525975,20.51328488649425,-0.9168372219827591,80.0,,73.0,0.0,203.32295838075413,234.4855246149175,272.2738230857077,252.0000078,0.0,0.0,271.6947693148396,0.0,0.0,346.900006
2009-08-31,,139.63204453225808,,1.1029407252504666,,318.57335301800265,0.8255180683827716,1.1078559189393922,27.241674967741943,,,,15.818347129032256,,-48.425087696908605,,,188.05713222916668,,3.9480482291666656,1.1855074109342787,165.3336600367476,,221.93811651104957,-56.60445647430203,20.464827272693448,,357.0,,357.0,0.0,,205.36790034517853,242.35688202546,220.70000220000003,0.3,0.0,242.77748137606133,1.3,0.0,308.20000600000003
2009-09-30,60.290644290123474,97.16798476041667,0.7890987915328898,1.0692598758748453,2.5621557677075684,264.5102442051096,0.8475204279465308,1.0666118058786378,27.54887903333333,1.020599992625268,121.0233934955357,123.13792113616071,15.481848199999998,232.9230472447917,-43.49099806458332,10.211380700085623,1.31664189499542,140.658982825,247.4814285472756,2.8887381253720243,1.298757137869704,125.67456140345644,1.24453219845679,181.90244874106983,-56.22788733761341,20.98543479724702,-2.114527640625,30.0,,30.0,0.0,140.73781562216936,148.7244682847811,192.33253560149018,182.80000210000003,3.4,0.0,195.67867718727612,1.6551724137931036,0.0,263.200003
2009-10-31,69.82833131720429,55.890601140457,,0.7101972397005661,1.980167158720716,202.21706199499388,0.8937117756944515,0.7090328462290201,21.34954474193548,,,,12.799401645161295,169.67184821975812,-3.1952222896505384,10.158473010527416,1.338896372944854,59.08582343010751,238.4466578534484,2.6262732025862072,1.153567230322199,65.31508303158505,0.6212019723118277,69.70189777629865,-4.3868147447136066,16.95664407183908,,1201.0,,1249.0,0.0,85.36203707543496,64.29458532889032,75.84196496508001,101.90000120000002,80.6,0.0,76.23875707749332,71.89999999999998,0.0,147.50000160000005
