date,rh,sw_in,H,vp,theta_1,G,lw_out,LE,wd,es,ws,sw_out,vpd,Rn,lw_in,t_avg,theta_mean,t_dew,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2013-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.63727412895363,,,1.216991302313979,0.8216985594708911,,,0.8216985594708911,,,,,1.9,1.3000001,0.0,,,,False,
2013-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.04342853791286,,,1.2202324232386814,0.8195160044558141,,,0.8195160044558141,,,,,2.5,1.6,0.0,,,,False,
2013-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.48053007391385,,,1.2251085086514344,0.8162542280444793,,,0.8162542280444793,,,,,2.3,1.5,0.0,,,,False,
2013-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.94809133794874,,,1.2310701850913421,0.8123013716929575,,,0.8123013716929575,,,,,2.0,1.4,0.0,,,,False,
2013-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.44560935944432,,,1.2377018437056608,0.8079490267268365,,,0.8079490267268365,,,,,2.0,1.5,0.0,,,,False,
2013-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.97256565808698,,,1.2396988253961905,0.8066475336704575,,,0.8066475336704575,,,,,2.5,1.8000001,0.0,,,,False,
2013-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.5284263313296,,,1.2385272722675114,0.8074105612298609,,,0.8074105612298609,,,,,1.9,1.4,0.0,,,,False,
2013-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.11264216798108,,,1.237639197127724,0.8079899233320745,,,0.8079899233320745,,,,,1.8000001,1.4,0.0,,,,False,
2013-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.7246487881901,,,1.2361856289439477,0.8089399978337258,,,0.8089399978337258,,,,,2.1000001,1.5,0.0,,,,False,
2013-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.36386681004498,,,1.2359728920519737,0.8090792333962848,,,0.8090792333962848,,,,,1.9,1.4,0.0,,,,False,
